name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	day	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons
4ed3b0	Mountain Dwarf	Outlander	2018-09-09T08:37:41Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	22	20	20	20	12	14	18	Chaotic Good	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn/Nec|Battleaxe|Warhammer|Javelin	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	09 09 18	CG	G	C	Dwarf	*	Battleaxe|Warhammer|Javelin
4ed3b0	Mountain Dwarf	Outlander	2018-09-09T06:52:09Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	22	20	20	20	12	14	18	Chaotic Good	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn/Nec|Battleaxe|Warhammer|Javelin	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	09 08 18	CG	G	C	Dwarf	*	Battleaxe|Warhammer|Javelin
4ed3b0	Mountain Dwarf	Outlander	2018-09-09T08:41:39Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	22	20	20	20	12	14	18	Chaotic Good	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn/Nec|Battleaxe|Warhammer|Javelin	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	09 09 18	CG	G	C	Dwarf	*	Battleaxe|Warhammer|Javelin
4ed3b0	Mountain Dwarf	Outlander	2018-09-09T08:33:21Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	22	20	20	20	12	14	18	Chaotic Good	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn/Nec|Battleaxe|Warhammer|Javelin	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	09 09 18	CG	G	C	Dwarf	*	Battleaxe|Warhammer|Javelin
4ed3b0	Mountain Dwarf	Outlander	2018-09-09T05:55:58Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	22	20	20	20	12	14	18	Chaotic Good	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn|Battleaxe|Warhammer|Javelin	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	09 08 18	CG	G	C	Dwarf	*	Battleaxe|Warhammer|Javelin
ed9db6	Human	Outlander	2018-05-31T18:52:17Z	Fighter 1	Fighter		1	War Caster	11	18	16	13	14	12	11	8		Athletics|Acrobatics|Insight|Perception|Survival	Greataxe|Handaxe		05 31 18		NA	NA	Human		Greataxe|Handaxe
c83fcd	Serpentblood	Sage	2018-09-08T14:35:32Z	Wizard 1	Wizard		1		8	10	10	10	15	16	10	13		Arcana|History|Investigation|Insight	Quarterstaff		09 08 18		NA	NA	Yaun-Ti		Quarterstaff
e8eb6c	Rock Gnome	Noble	2018-07-06T03:51:28Z	Sorcerer 1	Sorcerer	Storm Sorcery	1		9	11	11	13	16	17	14	15		Arcana|History|Deception|Persuasion	Dagger		07 05 18		NA	NA	Gnome		Dagger
cefbd5	Tortle - Razorback Tribe	Knight	2018-07-07T05:21:32Z	Paladin 1	Paladin		1		11	16	17	10	15	11	15	14	Lawful Good	Athletics|Nature|Medicine|Survival|Persuasion	Maul|Warhammer		07 06 18	LG	G	L	Turtle		Maul|Warhammer
1d594f	Half-Orc	Mercenary Veteran	2018-07-27T05:53:01Z	Barbarian 20|Fighter 19|Rogue 10|Wizard 16|Bard 16|Paladin 4|Warlock 4	Barbarian|Fighter|Rogue|Wizard|Bard|Paladin|Warlock	Path of the Battlerager|Battle Master|Inquisitive|School of Necromancy|College of Lore|OathBreaker|The Great Old One	89	Great Weapon Master|Prodigy	1149	22	24	20	24	20	20	20		Athletics|Acrobatics|Arcana|Investigation|Animal Handling|Insight|Perception|Deception|Intimidation|Performance|Persuasion	Greataxe|Handaxe|Javelin|Greatsword|Greataxe	Hellish Rebuke*1|Inflict Wounds*1|Animate Dead*3	07 26 18		NA	NA	Half-Orc	Hellish Rebuke*1|Inflict Wounds*1|Animate Dead*3	Greataxe|Handaxe|Javelin|Greatsword
a8afd6	Tiefling	Urban Bounty Hunter	2018-07-26T17:19:32Z	Fighter 3|Barbarian 1	Fighter|Barbarian	Battle Master|	4		37	16	15	10	14	9	12	15		Insight|Perception|Intimidation|Persuasion	Longbow|Greatsword|Trident|Handaxe|Sword Of Vengeance		07 26 18		NA	NA	Tiefling		Longbow|Greatsword|Trident|Handaxe
be2028	Dragonborn	Acolyte	2018-07-26T17:21:25Z	Paladin 4	Paladin	Oath of Ancients	4		45	18	17	8	16	10	12	14	Lawful Neutral	Religion|Insight|Medicine|Intimidation	Flail|Javelin|Longsword	Ensnaring Strike*1|Speak with Animals*1	07 26 18	LN	N	L	Dragonborn	Ensnaring Strike*1|Speak with Animals*1	Flail|Javelin|Longsword
3b3698	Dragonborn	Acolyte	2018-06-03T04:52:39Z	Warlock 1	Warlock	The Celestial	1		9	13	10	14	13	10	12	16	Chaotic good	Religion|Insight|Deception|Intimidation	Dagger|Dagger	Light*0|Sacred Flame*0|Mage Hand*0|Eldritch Blast*0|Hex*1|Tasha's Hideous Laughter*1	06 02 18	CG	G	C	Dragonborn	Light*0|Sacred Flame*0|Mage Hand*0|Eldritch Blast*0|Hex*1|Tasha’s Hideous Laughter*1	Dagger
759369	Half-Orc	Barbarian Tribe Member	2018-05-25T22:16:24Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		116	16	16	12	20	10	11	10	CN	Athletics|Acrobatics|Stealth|Animal Handling|Perception|Survival|Intimidation	Dagger|Greataxe|Handaxe		05 25 18	CN	N	C	Half-Orc		Dagger|Greataxe|Handaxe
7d35f9	Firbolg	Hermit	2018-06-10T14:56:40Z	Druid 1	Druid		1		9	13	12	14	13	10	19	12	Neutral Good	Religion|Insight|Medicine|Perception	Quarterstaff|Scimitar		06 10 18	NG	G	N	Firbolg		Quarterstaff|Scimitar
93cbf0	Half-Elf	Haunted One	2018-08-16T16:46:06Z	Sorcerer 7	Sorcerer	Wild Magic	7		44	10	11	10	14	16	14	19		Insight|Persuasion	Crossbow, light|Dagger	Dancing Lights*0|Fire Bolt*0|Mage Hand*0|Poison Spray*0|Prestidigitation*0|Detect Magic*1|Witch Bolt*1|Burning Hands *1|Crown Of Madness*2|Scorching Ray*2|Fear*3|Lightning Bolt*3|Wall Of Fire*4	08 16 18		NA	NA	Half-Elf	Dancing Lights*0|Fire Bolt*0|Mage Hand*0|Poison Spray*0|Prestidigitation*0|Detect Magic*1|Witch Bolt*1|Burning Hands*1|Crown of Madness*2|Scorching Ray*2|Fear*3|Lightning Bolt*3|Wall of Fire*4	Crossbow, Light|Dagger
87886c	Dragonborn	Knight	2018-06-03T23:55:27Z	Barbarian 1	Barbarian		1		15	15	19	15	16	10	12	14	Chaotic Neutral	Athletics|Arcana|Intimidation|Persuasion	Greatsword|Unarmed Strike|Javelin		06 03 18	CN	N	C	Dragonborn		Greatsword|Unarmed Strike|Javelin
955d0b	Human	Faction Agent	2018-06-13T16:20:08Z	Fighter 5	Fighter	Eldritch Knight	5	Sentinel	39	19	18	10	12	16	10	9		Athletics|Arcana|Nature|Insight|Survival	Longsword|Handaxe	Lightning Lure*0|Booming Bade*0|Shield*1|Absorb Elements*1|Snare*1	06 13 18		NA	NA	Human	Lightning Lure*0|Booming Blade*0|Shield*1|Absorb Elements*1|Snare*1	Longsword|Handaxe
70fcef	Human	Faction Agent	2018-06-13T20:52:39Z	Sorcerer 5	Sorcerer	Wild Magic	5	Lucky	32	12	10	14	14	10	10	18		Arcana|History|Insight|Deception|Persuasion	Quarterstaff|Dagger		06 13 18		NA	NA	Human		Quarterstaff|Dagger
ebc99d	Human	Faction Agent	2018-06-12T20:58:27Z	Fighter 5	Fighter	Eldritch Knight	5	Sentinel	39	19	18	10	12	16	10	9		Athletics|Arcana|Nature|Insight|Survival	Longsword|Handaxe		06 12 18		NA	NA	Human		Longsword|Handaxe
105cd5	Human	Faction Agent	2018-06-15T16:21:06Z	Rogue 5	Rogue	Arcane Trickster	5		38	15	10	18	14	16	11	10		Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Survival	Rapier|Shortbow|Dagger		06 15 18		NA	NA	Human		Rapier|Shortbow|Dagger
f69f29	Human	Faction Agent	2018-06-12T20:41:32Z	Cleric 5	Cleric	Arcana Domain	5	Magic Initiate	28	16	9	16	10	10	18	12		Arcana|History|Religion|Insight|Medicine|Persuasion	Mace|Crossbow, light	Detect Magic*1|Magic Missile*1|Magic Weapon*2|Arcanist's Magic Aura*2|Dispel Magic*3|Magic Circle*3	06 12 18		NA	NA	Human	Detect Magic*1|Magic Missile*1|Magic Weapon*2|Nystul’s Magic Aura*2|Dispel Magic*3|Magic Circle*3	Mace|Crossbow, Light
ebc99d	Human	Faction Agent	2018-06-12T21:01:10Z	Fighter 5	Fighter	Eldritch Knight	5	Sentinel	39	19	18	10	12	16	10	9		Athletics|Arcana|Nature|Insight|Survival	Longsword|Handaxe	Lightning Lure*0|Booming Bade*0|Shield*1|Absorb Elements*1|Snare*1	06 12 18		NA	NA	Human	Lightning Lure*0|Booming Blade*0|Shield*1|Absorb Elements*1|Snare*1	Longsword|Handaxe
71c5aa	Lightfoot Halfling	Urchin	2018-08-08T09:26:58Z	Monk 1	Monk		1		9	17	14	19	15	14	16	14	lawful neutral	Acrobatics|Sleight of Hand|Stealth|Insight	Quarterstaff|Dart|Unarmed strike		08 08 18	LN	N	L	Halfling		Quarterstaff|Dart|Unarmed Strike
66e397	Wood Elf	Outlander	2018-07-10T18:40:47Z	Rogue 1	Rogue		1		9	14	10	17	13	10	14	12	Chaotic Good	Athletics|Stealth|Perception|Survival|Deception	Shortsword|Shortbow|Dagger		07 10 18	CG	G	C	Elf		Shortsword|Shortbow|Dagger
c936b2	Human	Folk Hero	2018-07-28T19:56:15Z	Warlock 1	Warlock	The Fiend	1		8	11	11	11	16	11	12	16		History|Nature|Animal Handling|Survival	Crossbow, light|Dagger		07 28 18		NA	NA	Human		Crossbow, Light|Dagger
300b28	Human	Knight	2018-08-04T22:03:36Z	Paladin 5	Paladin	Oath of Devotion	5	Shield Master|Resilient	50	23	18	14	18	14	16	16		Athletics|Arcana|Religion|Perception|Persuasion	Longsword|Flail	Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2	08 04 18		NA	NA	Human	Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2	Longsword|Flail
3c926c	Bugbear	Hermit	2018-08-30T18:37:02Z	Fighter 6|Bard 3	Fighter|Bard	Battle Master|College of Lore	9	Grappler	82	17	20	16	16	10	14	13		Athletics|Acrobatics|Stealth|Nature|Religion|Animal Handling|Medicine|Survival|Intimidation	Crossbow, light		08 30 18		NA	NA	Bugbear		Crossbow, Light
a4842f	Human	Acolyte	2018-08-28T13:24:27Z	Paladin 3|Sorcerer 6	Paladin|Sorcerer	Oath of Devotion|Draconic Bloodline	9	Polearm Master|War Caster	73	19	19	14	14	10	12	19		Athletics|Religion|Insight|Intimidation|Persuasion	Lance|Halberd|Net	Protection from Evil and Good*1|Sanctuary*1	08 28 18		NA	NA	Human	Protection from Evil and Good*1|Sanctuary*1	Lance|Halberd|Net
fa63a2	Human	Hermit	2018-09-03T19:58:28Z	Mystic 8	Mystic	Order of the Wu Jen	8		68	15	12	18	18	18	12	7		Arcana|Religion|Insight|Medicine|Perception|Survival	Spear|Crossbow, light		09 03 18		NA	NA	Human		Spear|Crossbow, Light
93cbf0	Half-Elf	Haunted One	2018-08-09T19:45:09Z	Sorcerer 7	Sorcerer	Wild Magic	7		44	10	11	10	14	16	14	19		Insight|Persuasion	Crossbow, light|Dagger		08 09 18		NA	NA	Half-Elf		Crossbow, Light|Dagger
c02874	Tiefling	Acolyte	2018-06-28T20:49:25Z	Bard 3	Bard	College of Glamour	3		27	13	8	15	14	10	9	17		Sleight of Hand|Religion|Animal Handling|Insight|Performance	Mace|Dagger		06 28 18		NA	NA	Tiefling		Mace|Dagger
fff5d7	Half-Elf	Mercenary Veteran	2018-08-21T19:54:50Z	Druid 1	Druid		1		7	11	12	11	13	13	15	12		Athletics|Animal Handling|Insight|Survival|Deception|Persuasion	Crossbow, light|Scimitar		08 21 18		NA	NA	Half-Elf		Crossbow, Light|Scimitar
f64631	Human	Noble	2018-06-16T20:30:27Z	Cleric 1|Wizard 13	Cleric|Wizard	Light Domain|School of Divination	14	Lucky	102	18	10	14	16	18	14	11		History|Religion|Insight|Persuasion	Mace|Crossbow, light	Light*0|Burning Hands*1|Faerie Fire*1	06 16 18		NA	NA	Human	Light*0|Burning Hands*1|Faerie Fire*1	Mace|Crossbow, Light
0f183a	Bugbear	Criminal	2018-07-14T22:04:33Z	Fighter 1	Fighter		1		11	16	17	15	13	8	11	9		Stealth|Survival|Deception|Intimidation	Greataxe|Crossbow, heavy|Handaxe		07 14 18		NA	NA	Bugbear		Greataxe|Crossbow, Heavy|Handaxe
f74c74	Forest Gnome	Sage	2018-07-18T22:13:30Z	Sorcerer 2	Sorcerer	Shadow Magic	2		14	12	8	14	14	14	10	15		Arcana|History|Insight|Persuasion	Dagger		07 18 18		NA	NA	Gnome		Dagger
b71418	Dragonborn	Outlander	2018-07-16T22:32:17Z	Paladin 2	Paladin		2		18	16	14	15	13	10	8	15		Athletics|Insight|Survival|Intimidation	Javelin|Longsword		07 16 18		NA	NA	Dragonborn		Javelin|Longsword
f74c74	Forest Gnome	Sage	2018-07-10T01:18:16Z	Sorcerer 1	Sorcerer	Shadow Magic	1		8	12	8	14	14	14	10	15		Arcana|History|Insight|Persuasion	Dagger		07 09 18		NA	NA	Gnome		Dagger
b71418	Dragonborn	Outlander	2018-07-10T13:52:40Z	Paladin 1	Paladin		1		11	16	14	15	13	10	8	15		Athletics|Insight|Survival|Intimidation	Javelin|Longsword		07 10 18		NA	NA	Dragonborn		Javelin|Longsword
e6c8ab	Human	Urban Bounty Hunter	2018-08-16T17:32:03Z	Rogue 10	Rogue	Mastermind	10	Healer	24	15	17	16	15	13	12	9	Neutral	Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception	Dagger|Dagger|Crossbow, light|ScaleDeep Dagger		08 16 18	NN	N	N	Human		Dagger|Crossbow, Light
458a02	Skellington	Hermit	2018-08-23T22:43:50Z	Monk 10	Monk	Way of the Sun Soul	10	Sentinel	63	18	8	20	13	8	16	6	Neutral	Acrobatics|Stealth|Religion|Insight|Medicine	Unarmed strike		08 23 18	NN	N	N			Unarmed Strike
a555f7	Firbolg	Outlander	2018-08-14T04:24:31Z	Monk 3|Druid 2	Monk|Druid	Way of the Sun Soul|Circle of the Moon	5		33	16	12	16	13	10	17	8		Athletics|Acrobatics|Insight|Survival	Quarterstaff|Dart|Unarmed strike	Shillelagh*0|Primal Savagery*0|Goodberry*1|Create/Destroy Water*1|Purify Food And Drink*1	08 13 18		NA	NA	Firbolg	Shillelagh*0|Primal Savagery*0|Goodberry*1|Create or Destroy Water*1|Purify Food and Drink*1	Quarterstaff|Dart|Unarmed Strike
95d4a1	Human	Cloistered Scholar	2018-09-07T09:41:03Z	Wizard 2	Wizard	Lore Mastery	2	Linguist	16	11	8	13	14	17	10	12		Arcana|History|Investigation|Religion	Quarterstaff		09 07 18		NA	NA	Human		Quarterstaff
b7ec79	Serpentblood	Folk Hero	2018-05-28T11:21:52Z	Bard 5	Bard	College of Whispers	5		50	13	10	14	14	10	9	19		Stealth|Animal Handling|Survival|Deception|Persuasion	Rapier|Dagger		05 28 18		NA	NA	Yaun-Ti		Rapier|Dagger
d63bef	Wood Elf	Far Traveler	2018-07-31T07:57:33Z	Cleric 2	Cleric	Grave Domain	2		20	18	13	16	14	10	18	12		Religion|Insight|Medicine|Perception	Shortbow|Shortsword|Dagger	Spare the Dying*0|Bane*1|False Life*1	07 31 18		NA	NA	Elf	Spare the Dying*0|Bane*1|False Life*1	Shortbow|Shortsword|Dagger
d3f09a	Forest Gnome	Outlander	2018-09-02T04:11:46Z	Cleric 2	Cleric	Trickery Domain	2		16	17	12	19	10	10	22	14		Athletics|Religion|Survival|Persuasion	Mace|Shortbow	Light*0|Sacred Flame*0|Mending*0|Minor Illusion*0|Charm Person*1|Disguise Self*1|Inflict Wounds.*1|Guiding Bolt*1|Command*1	09 01 18		NA	NA	Gnome	Light*0|Sacred Flame*0|Mending*0|Minor Illusion*0|Charm Person*1|Disguise Self*1|Inflict Wounds*1|Guiding Bolt*1|Command*1	Mace|Shortbow
054df0	Aarakocra	Far Traveler	2018-07-15T22:36:52Z	Wizard 5	Wizard	School of Evocation	5		32	13	10	16	15	18	14	12	CN	Arcana|Investigation|Insight|Perception	Dagger|Unarmed strike (Claws)		07 15 18	CN	N	C	Aarakocra		Dagger|Unarmed Strike
054df0	Aarakocra	Far Traveler	2018-07-15T22:42:41Z	Wizard 5	Wizard	War Magic	5	Resilient	35	13	10	16	15	18	14	12	cn	Arcana|Investigation|Insight|Perception	Dagger|Unarmed strike	Message*0|Fire Bolt*0|Mage Hand*0|Minor Illusion*0	07 15 18	CN	N	C	Aarakocra	Message*0|Fire Bolt*0|Mage Hand*0|Minor Illusion*0	Dagger|Unarmed Strike
850d99	Half-Elf	Entertainer	2018-06-29T18:28:06Z	Warlock 1|Bard 19	Warlock|Bard	The Hexblade|College of Swords	20	Elven Accuracy|Resilient|Lucky	163	13	8	14	16	12	12	20		Acrobatics|Investigation|Perception|Deception|Performance|Persuasion	Crossbow, light|Crossbow, light|Dagger		06 29 18		NA	NA	Half-Elf		Crossbow, Light|Dagger
f0d601	Protector Aasimar	Courtier	2018-07-09T01:58:00Z	Cleric 1	Cleric	Life Domain	1		10	15	9	12	14	10	16	14	Lawful Good	History|Insight|Medicine|Persuasion	Mace	Light*0|Sacred Flame*0|Spare Of The Dying*0|Toll Of The Dead*0|Bless*1|Cure Wounds*1	07 08 18	LG	G	L	Aasimar	Light*0|Sacred Flame*0|Spare the Dying*0|Toll the Dead*0|Bless*1|Cure Wounds*1	Mace
3481bd	Wood Elf	Charlatan	2018-08-09T19:12:43Z	Ranger 7	Ranger	Beast Master	7	Elven Accuracy	65	14	10	17	15	10	13	11	lawful neutral 	Sleight of Hand|Nature|Animal Handling|Insight|Perception|Deception	Sickle|Longbow|Whip	Hunter's Mark*1|Speak With Animals*1|Silence*2|Pass Without Trace*2|Animal Messenger*2	08 09 18	LN	N	L	Elf	Hunter’s Mark*1|Speak with Animals*1|Silence*2|Pass Without Trace*2|Animal Messenger*2	Sickle|Longbow|Whip
b9609a	Forest Gnome	Outlander	2018-07-28T07:53:43Z	Druid 1	Druid		1		8	15	14	15	10	16	22	10	Neutral Good	Athletics|Nature|Animal Handling|Survival			07 28 18	NG	G	N	Gnome		
2a41dd	Mountain Dwarf	Barbarian Tribe Member	2018-07-28T07:16:50Z	Barbarian 1	Barbarian		1		17	16	22	13	20	12	1	16	Chaotic Good	Athletics|Perception|Survival|Intimidation	War Pick|Unarmed Strike|Javelin		07 28 18	CG	G	C	Dwarf		War pick|Unarmed Strike|Javelin
69af00	Deep Gnome	Outlander	2018-07-28T08:25:16Z	Paladin 1	Paladin		1		13	16	22	15	16	10	12	20		Athletics|Survival|Intimidation|Persuasion	War Pick|Battleaxe|Unarmed Strike		07 28 18		NA	NA	Gnome		War pick|Battleaxe|Unarmed Strike
ff0168	Half-Orc	Folk Hero	2018-07-17T00:04:04Z	Fighter 10	Fighter	Champion	10		94	19	18	13	16	11	11	13		Athletics|Animal Handling|Perception|Survival|Intimidation	Greatsword|Battleaxe|Magma Battleaxe		07 16 18		NA	NA	Half-Orc		Greatsword|Battleaxe
a81320	Human	Knight	2018-08-26T20:42:06Z	Fighter 5	Fighter	Eldritch Knight	5	Lucky	60	18	16	11	14	16	10	10		Athletics|History|Perception|Persuasion	Longsword		08 26 18		NA	NA	Human		Longsword
b185e6	Eladrin ToF	Noble	2018-08-30T15:23:57Z	Druid 7	Druid	Circle of the Shepherd	7		49	16	8	16	14	10	16	13	Lawful Good	History|Animal Handling|Insight|Perception|Persuasion	Scimitar	Create Bonfire*0|Druidcraft*0|Mending*0|Charm Person*1|Entangle*1|Detect Magic*1|Cure Wounds*1|Beast Bond*1|Healing Spirit*2|Moonbeam*2|Conjure Animals*3|Plant Growth*3|Giant Insect*4	08 30 18	LG	G	L		Create Bonfire*0|Druidcraft*0|Mending*0|Charm Person*1|Entangle*1|Detect Magic*1|Cure Wounds*1|Beast Bond*1|Healing Spirit*2|Moonbeam*2|Conjure Animals*3|Plant Growth*3|Giant Insect*4	Scimitar
8dec4d	Human	Acolyte	2018-08-27T18:16:50Z	Paladin 4|Sorcerer 8	Paladin|Sorcerer	Oath of Devotion|Draconic Bloodline	12	Polearm Master|Sentinel|War Caster	96	19	20	14	14	10	12	20		Athletics|Religion|Insight|Intimidation|Persuasion	Net|Greatclub|Lance	Booming Blade*0|Green Flame Blade*0|Fire Bolt*0|Lightning Lure*0|Friends*0|Burning Hands*1|Shield*1|Protection from Evil and Good (Always Prepared)*1|Sanctuary (Always Prepared)*1|All Paladin Spells (Prepare CHA Mod (5) + Half Paladin Level (4/2=2) = 7)*1|Scorching Ray*2|Hold Person*2|Fireball*3|Counterspell*3|Greater Invisibility*4|Polymorph*4|Animate Objects*5|Hold Monster*5	08 27 18		NA	NA	Human	Booming Blade*0|Green-Flame Blade*0|Fire Bolt*0|Lightning Lure*0|Friends*0|Burning Hands*1|Shield*1|Protection from Evil and Good*1|Sanctuary*1|Scorching Ray*2|Hold Person*2|Fireball*3|Counterspell*3|Greater Invisibility*4|Polymorph*4|Animate Objects*5|Hold Monster*5	Net|Greatclub|Lance
cd7ca2	Human	Former pilot	2018-08-20T15:57:45Z	Ranger 1	Ranger		1		11	13	6	15	12	8	14	10	True Neutral (evil)	Stealth|Insight|Perception	Shortsword|Longbow		08 20 18		NA	NA	Human		Shortsword|Longbow
359ab3	Goliath	Haunted One	2018-06-05T23:36:23Z	Barbarian 5	Barbarian	Path of the Zealot	5		50	14	19	14	14	12	10	8		Athletics|Nature|Religion|Perception|Survival	Greataxe|Handaxe|Javelin		06 05 18		NA	NA	Goliath		Greataxe|Handaxe|Javelin
41dc42	Ghastly Halfling	Sailor	2018-05-28T01:59:03Z	Druid 1	Druid		1		10	16	8	17	14	10	16	8		Athletics|Arcana|Perception|Survival	Scimitar	Druidcraft*0|Thorn Whip*0|Goodberry*1|Entangle*1	05 27 18		NA	NA	Halfling	Druidcraft*0|Thorn Whip*0|Goodberry*1|Entangle*1	Scimitar
